アート梱包運輸㈱,あーとこんぽううんゆ,長野県東御市八重原3510-1,0268-67-0345
武田板金製作所,たけだばんきんせいさくしょ,長野県長野市川合新田370-18,026-214-7812
㈲竹花製作所,たけはなせいさくしょ,長野県上田市腰越774,0268-43-2104
(有)竜野電線,たつのでんせん,長野県小県郡長和町古町2878-2,0268-68-2027
立科金属㈱,たてしなきんぞく,長野県北佐久郡立科町大字芦田3408,0267-56-2228
蓼北金属ヤシマ工場,りょうほくきんぞくやしまこうじょう,長野県佐久市矢嶋700,0267-58-2800
玉井電設㈱,たまいでんせつ,長野県上田市小牧1183-1,0268-24-6160
千曲通信工業㈱,ちくまつうしんこうぎょう,長野県佐久市瀬戸1111-1,0267-64-1230
千代田技研,ちよだぎけん,長野県上田市大屋166-1,0268-35-0033
TDK㈱浅間テクノ工場,てぃーでぃーけーあさまてくのこうじょう,長野県佐久市小田井543,0267-68-5111
TDK㈱甲府工場,てぃーでぃーけーこうふこうじょう,山梨県南アルプス市宮沢160,055-283-8503
TDK㈱千曲テクノ工場,てぃーでぃーけーちくまてくのこうじょう,長野県佐久市小田井462-1,0267-66-1111
㈱鐵鋼社,てっこうしゃ,長野県上田市御嶽堂2515-12,0268-42-7611
東西金型工業,とうざいかながたこうぎょう,,
東部メタル,とうぶめたる,長野県東御市和3887,0268-63-7376
東羽ネット㈱,とううねっと,長野県佐久市志賀6512-2,0267-66-6822
トーワ金属,とーわきんぞく,長野県小県郡青木村殿戸122,0268-49-2019
トーワ石油株,とーわせきゆ,長野県上田市上田原713,0268-22-8804
㈱徳武製作所,とくたけせいさくしょ,長野県埴科郡坂城町南条5127-21,0268-82-8533
トヨタL＆F長野㈱,とよたえるあんどえふながの,長野県東御市羽毛山519-17,0268-64-9090
中沢印刷,なかざわいんさつ,長野県上田市住吉1-6,0268-22-0126
㈲中島製作所,なかじませいさくしょ,長野県上田市上野59-1,0268-24-1738
㈱長野精工,ながのせいこう,上田市舞田121-2,0268383614
長野石油輸送,ながのせきゆゆそう,長野県埴科郡 坂城町大字坂城10042-3,0268-82-3040
長野鍛工㈱,ながのたんこう,長野県長野市穂保291-1,026-296-9202
長野鍛工㈱上田事業所,ながのたんこううえだじぎょうしょ,長野県上田市上田1558,0268-22-0280
長野鍛工㈱豊田事業所,ながのたんこうとよたじぎょうしょ,長野県中野市大字穴田1854-3,0269-38-3015
長野日野自動車㈱　小諸支店,ながのひのじどうしゃこもろしてん,長野県小諸市加増字下原369-1,0267223510
㈱西軽精機,にしかるせいき,長野県佐久市小田井1077-18,0267-68-7104
西澤電機計器製作所,にしざわでんきけいきせいさくしょ,長野県埴科郡坂城町大字坂城6249,0268-82-2900
日軽松尾㈱,にっけいまつお,長野県上田市下之郷813-1,0268-38-0001
日信サービス㈱古里,にっしんさーびすふるさと,長野県上田市古里149-3,0268-26-3612
日信サービス　祢津事業所,にっしんさーびすねつじぎょうしょ,東御市祢津3074,0268-64-4711
日本光器製作所,にっぽんこうきせいさくしょ,長野県小県郡青木村当郷268,0268-49-2139
NOK株式会社北関東,えぬおーけーきたかんとう,立科町塩沢1884-1,0267-56-3285
NOK北関東㈱立科工場,えぬおーけーきたかんとうたてしなこうじょう,立科町塩沢1884-1,0267-56-3285
埴科精機㈲,はにしなせいき,長野県埴科郡坂城町南条4366,0268-82-8125
浜村製作所,はまむらせいさくしょ,長野県上田市上田52-1,
日置電機株,ひおきでんき,長野県上田市小泉81,0268-28-0555
㈲ファインフォーミング,ふぁいんふぉーみんぐ,長野県上田市真田町傍陽938,0268-61-5002
福沢自動車,ふくざわじどうしゃ,長野県上田市大屋269−1,0268-35-0052
フジカーランド,ふじかーらんど,長野県上田市古里110ー1,
日本プラパレット,にっぽんぷらぱれっと,上田市富士山2412-9,0268-38-8211
古河ユニック㈱,ふるかわゆにっく,長野県埴科郡坂城町中之条1407-1,0268-81-3410
細谷合金製作所,ほそやごうきんせいさくしょ,,
㈲誉工業所,ほまれこうぎょうしょ,長野県上田市御所133-1,0268-22-7826
㈲保屋野製作所,ほやのせいさくしょ,長野県上田市保野281-3,0268-38-3311
㈲マーク,まーく,長野県上田市吉田175-5,
マイクロストーン,まいくろすとーん,長野県佐久市新子田1934,0267-66-0388
マシンテックサポート(株),ましんてっくさぽーと,長野県松本市宮田18-23-2,0263-50-659
マシンテックサポート㈱,ましんてっくさぽーと,松本市宮田18-23-2,0263-50-6591
㈱マシンメイト,ましんめいと,長野県上田市保野1220,0268-28-1300
松代工業㈱,まつしろこうぎょう,長野県長野市松代町東条354,026-278-2419
マツハシ冷熱㈱,まつはしれいねつ,長野県上田市古里913-3,0268-23-1755
㈱マルイ,まるい,長野県東御市鞍掛上平507,0268-62-2031
㈲マルゴー,まるごー,長野県千曲市大字戸倉649-1,026-276-3011
丸子機械,まるこきかい,長野県上田市御嶽堂2515-13,0268-42-2106
㈱マルミツ,まるみつ,長野県小諸市滋野甲656-8,0267-26-0086
㈲三浦製作所,みうらせいさくしょ,長野県須坂市塩野町1143-2,026-245-2521
㈲水野製作所,みずのせいさくしょ,長野県埴科郡坂城町大字中之条2154,0268-82-3777
三菱ふそうトラック・バス株式会社,みつびしふそうとらっく・ばす,,
㈱ミマキエンジニアリング,みまきえんじにありんぐ,長野県東御市滋野乙2182-1,0268-64-2281
ミマキ電子部品㈱　北御牧第一・第二,みまきでんしぶひんきたみまきだいいち・だいに,長野県東御市御牧原1511,0268-61-6181
ミマキ電子部品㈱　光部品事業部,みまきでんしぶひんひかりぶひんじぎょうぶ,長野県東御市滋野乙1382-1,0268-64-3218
ミマキ電子部品㈱　丸子工場,みまきでんしぶひんまるここうじょう,上田市長瀬1050,0268-75-9795
㈱ミマキプレシジョン,みまきぷれしじょん,長野県東御市滋野乙2182-3,0268-64-6066
宮坂製作所　下河原,みやさかせいさくしょしもがわら,長野県上田市常田1丁目7-14,0268-22-1413
ミヤセ工業,みやせこうぎょう,長野県埴科郡坂城町大字南条4963-12,0268-82-8122
ミヤマ精工㈱（雨宮）,みやませいこうあめのみや,長野県千曲市雨宮2358-1,026-272-8080
ミヨシ精機工業㈱,みよしせいきこうぎょう,長野県上田市塩川5103-3,0268-36-4600
㈱ミロクメディカルラボラトリー,みろくめでぃかるらぼらとりー,長野県佐久市印内659-2,0267-54-2111
㈲村田精密製作所,むらたせいみつせいさくしょ,長野県埴科郡坂城町南条2131,0268-82-1406
㈱ムラヤマ,むらやま,長野県上田市古里1387-1,0268-39-9907
㈲メガパスカル,めがぱすかる,長野県東御市滋野4602-4,0268-64-7650
㈱メクトロン,めくとろん,長野県上田市下武石1240,0268-85-2345
㈱本久,もときゅう,,
森下商会,もりしたしょうかい,長野県松本市双葉3-27,0263-27-3286
㈲山岸製作所,やまぎしせいさくしょ,長野県埴科郡坂城町上平1640,0268-82-2894
㈲やまとし製作所,やまとしせいさくしょ,長野県千曲市戸倉柏王57,026-276-0770
山二発條㈱,やまにはつじょう,長野県上田市富士山2416-19,0268-38-8100
㈱ユニオンプレート,ゆにおんぷれーと,長野県上田市仁古田263-1,0268-37-2015
吉田工業㈱,よしだこうぎょう,長野県佐久市望月2166-1,0267-53-2151
吉田精工,よしだせいこう,長野県上田市前山676-1,
(株)吉見鈑金製作所,よしみばんきんせいさくしょ,長野県上田市小泉346-1,0268-27-7647
㈲米山精機,よねやませいき,長野県埴科郡坂城町大字坂城10287-4,0268-82-2981
ライジング,らいじんぐ,長野県上田市保野250-1,0268-75-1022
